"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4",500,4,14,"gamlss2",-2384.23859588788,-2384.23859588788,0,-1.19211929794394,200,1.30689209609427,0.5
"n500_d4",500,4,14,"gamlss2",-2384.23859588788,-2384.23859588788,0,-1.19211929794394,200,222.396994306485,2
"n500_d4",500,4,15,"gamlss.longitudinal",-1456.06183230477,-2384.94934132884,928.887509024077,-0.728030916152384,200,0.637893743219874,0.5
"n500_d4",500,4,15,"gamlss.longitudinal",-1456.06183230477,-2384.94934132884,928.887509024077,-0.728030916152384,200,27.6899039630624,2
"n500_d4",500,4,15,"gamlss2",-2414.34482215392,-2414.34482215392,0,-1.20717241107696,200,1.08364889931992,0.5
"n500_d4",500,4,15,"gamlss2",-2414.34482215392,-2414.34482215392,0,-1.20717241107696,200,456.775698984432,2
"n500_d4",500,4,16,"gamlss.longitudinal",-1644.06039660962,-2463.33911981884,819.278723209226,-0.822030198304808,200,0.740364401743112,0.5
"n500_d4",500,4,16,"gamlss.longitudinal",-1644.06039660962,-2463.33911981884,819.278723209226,-0.822030198304808,200,38.7287583497629,2
"n500_d4",500,4,16,"gamlss2",-2537.57589024298,-2537.57589024298,0,-1.26878794512149,200,1.44987303766673,0.5
"n500_d4",500,4,16,"gamlss2",-2537.57589024298,-2537.57589024298,0,-1.26878794512149,200,218.186705596284,2
"n500_d4",500,4,17,"gamlss.longitudinal",-1570.38926171574,-2399.97420104189,829.584939326155,-0.785194630857869,200,0.702238288818051,0.5
"n500_d4",500,4,17,"gamlss.longitudinal",-1570.38926171574,-2399.97420104189,829.584939326155,-0.785194630857869,200,48.1728206116637,2
"n500_d4",500,4,17,"gamlss2",-2433.04141514645,-2433.04141514645,0,-1.21652070757322,200,1.30721588133697,0.5
"n500_d4",500,4,17,"gamlss2",-2433.04141514645,-2433.04141514645,0,-1.21652070757322,200,195.879375380374,2
"n500_d4",500,4,18,"gamlss.longitudinal",-1486.47566857497,-2282.87413085889,796.398462283921,-0.743237834287483,200,0.701307305902837,0.5
"n500_d4",500,4,18,"gamlss.longitudinal",-1486.47566857497,-2282.87413085889,796.398462283921,-0.743237834287483,200,58.8635273771201,2
"n500_d4",500,4,18,"gamlss2",-2381.73759825589,-2381.73759825589,0,-1.19086879912794,200,1.18201353543157,0.5
"n500_d4",500,4,18,"gamlss2",-2381.73759825589,-2381.73759825589,0,-1.19086879912794,200,99.2720630862508,2
"n500_d4",500,4,19,"gamlss.longitudinal",-1628.86844657932,-2383.26674879163,754.398302212307,-0.81443422328966,200,0.727889294853088,0.5
"n500_d4",500,4,19,"gamlss.longitudinal",-1628.86844657932,-2383.26674879163,754.398302212307,-0.81443422328966,200,69.4877597173342,2
"n500_d4",500,4,19,"gamlss2",-2381.7868302337,-2381.7868302337,0,-1.19089341511685,200,1.26958755119583,0.5
"n500_d4",500,4,19,"gamlss2",-2381.7868302337,-2381.7868302337,0,-1.19089341511685,200,1135.46451525975,2
"n500_d4",500,4,20,"gamlss.longitudinal",-1560.20008418802,-2472.30489545237,912.104811264347,-0.780100042094011,200,0.679406040417159,0.5
"n500_d4",500,4,20,"gamlss.longitudinal",-1560.20008418802,-2472.30489545237,912.104811264347,-0.780100042094011,200,22.4699257554927,2
"n500_d4",500,4,20,"gamlss2",-2472.11512296706,-2472.11512296706,0,-1.23605756148353,200,1.14639778072693,0.5
"n500_d4",500,4,20,"gamlss2",-2472.11512296706,-2472.11512296706,0,-1.23605756148353,200,163.095441492583,2
