"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse","mean_logLik","mean_df"
"n500_d4","gamlss.longitudinal",500,4,"theta",87,0.0223794754953831,0.0251658427752353,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",63,0.0218785514293304,0.0258404888278892,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",64,0.0217233281097257,0.0286860725397943,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",40,0.0277586180957578,0.0323450704958393,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",64,0.0878259328788441,0.0968630772619605,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",88,0.0213585254963558,0.0252964814277214,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",64,0.0576274008018636,0.0703126091113776,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",65,0.0305621587999057,0.048479881402373,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",41,0.0322057278423123,0.040910571394071,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",65,0.0441083564882889,0.0515705861282479,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",89,0.0482268843757975,0.0659381486698358,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",65,0.0195752719127145,0.0268709384942994,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",66,0.0344491938862295,0.0489530948451829,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",42,0.0163796217547002,0.0256358008717847,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",66,0.0349743177335023,0.0422588660456519,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",90,0.0526150616729394,0.0658353310476052,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",66,0.0306529751747576,0.0349544058017852,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",67,0.0318880503181647,0.0377131153326348,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",43,0.0204874910891989,0.0256329611875795,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",67,0.0640044729478531,0.0785194208645928,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",91,0.0565780407371166,0.0694904553223638,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",67,0.0656820418418542,0.0884040904056059,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",68,0.024500738356562,0.0331137367651004,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",44,0.0330983132722575,0.0531995940837335,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",68,0.0535587632018219,0.0603703515050385,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",92,0.0352442647594621,0.0417870360767658,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",68,0.0226046128105711,0.0264724750512026,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",69,0.0275773718641939,0.0324952100619355,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",45,0.0274287592045622,0.0328682608178361,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",69,0.04239551481386,0.0480863112707598,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",93,0.0233329450076451,0.0267260023797603,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",69,0.0319264312955599,0.0360949966815048,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",70,0.0208701383655264,0.0240040601891039,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",46,0.0398434943796463,0.0573239315528903,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",70,0.0413604589010979,0.0465467546680298,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",94,0.0282601508334948,0.0350250044027355,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",70,0.0137262726831021,0.01869461815776,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",71,0.032177582046873,0.0409415893288171,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",47,0.0274891870454457,0.043299673247897,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",71,0.0459268535718638,0.0523557821924946,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",95,0.0236017416946603,0.0317672129635531,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",71,0.040496047820618,0.0537605424088217,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",72,0.0379709907307782,0.0472582698536814,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",48,0.0177661374019905,0.0308108524701167,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",72,0.0555262945753132,0.0634054268456077,-1510.08638146783,NA
