"model","parameter","term","estimate","std_error","true_value","intercept_includes_fitted_smooth_mean","scenario","n","d","rep"
"gamlss.longitudinal","theta","intercept",1.03455207105451,0.0643000868231829,1.03514978833209,TRUE,"n500_d4",500,4,4
"gamlss.longitudinal","theta","x1",0.335403871840156,0.0364827425303609,0.25,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","theta","x2",-0.0903052455446146,0.0747900137033892,-0.1,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","theta","t",0.209750224232575,0.121423743842345,0.2,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","zeta","intercept",-0.401422127499268,0.819391199441036,0.5,TRUE,"n500_d4",500,4,4
"gamlss.longitudinal","zeta","x1",0.395544186462261,0.495036321262462,0.12,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","zeta","x2",-0.759061674131445,1.04673852135556,-0.1,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","zeta","t",1.96793912147654,1.98683378488372,0.1,FALSE,"n500_d4",500,4,4
"gamlss2","mu","intercept",0.747818489987703,0.0143223704192392,0.781952965353195,FALSE,"n500_d4",500,4,4
"gamlss2","mu","x1",0.128125193718864,0.00714898173437445,0.12,FALSE,"n500_d4",500,4,4
"gamlss2","mu","x2",-0.0893910648915272,0.0159572694627057,-0.1,FALSE,"n500_d4",500,4,4
"gamlss2","mu","t",0.202819258929139,0.019822001913275,0.18,FALSE,"n500_d4",500,4,4
"gamlss2","sigma","intercept",-1.184812768133,0.0326910697700002,-1.20383139920899,FALSE,"n500_d4",500,4,4
"gamlss2","sigma","x1",0.215120257696163,0.0172457758284917,0.18,FALSE,"n500_d4",500,4,4
"gamlss2","sigma","x2",0.135238529497083,0.0336392047987988,0.12,FALSE,"n500_d4",500,4,4
"gamlss2","sigma","t",0.137449473513721,0.0440777498144401,0.15,FALSE,"n500_d4",500,4,4
"gamlss2","nu","intercept",-0.114979729592588,0.102126590883156,0,FALSE,"n500_d4",500,4,4
"gamlss2","nu","x1",0.0302159145788782,0.0471711732217619,0.1,FALSE,"n500_d4",500,4,4
"gamlss2","nu","x2",-0.111695894141079,0.0956259230880598,-0.08,FALSE,"n500_d4",500,4,4
"gamlss2","nu","t",0.253684387577267,0.124640407390115,0.12,FALSE,"n500_d4",500,4,4
"gamlss2","tau","intercept",0.544288080475641,0.0974191756609544,0.5,FALSE,"n500_d4",500,4,4
"gamlss2","tau","x1",0.0918071837912359,0.0554883597615503,-0.08,FALSE,"n500_d4",500,4,4
"gamlss2","tau","x2",0.0319700604107333,0.108132691218455,0.1,FALSE,"n500_d4",500,4,4
"gamlss2","tau","t",0.174998458631791,0.140114307431565,0.11,FALSE,"n500_d4",500,4,4
"gamlss2","theta","intercept",NA,NA,NA,FALSE,"n500_d4",500,4,4
"gamlss2","theta","x1",NA,NA,NA,FALSE,"n500_d4",500,4,4
"gamlss2","theta","x2",NA,NA,NA,FALSE,"n500_d4",500,4,4
"gamlss2","theta","t",NA,NA,NA,FALSE,"n500_d4",500,4,4
"gamlss2","zeta","intercept",NA,NA,NA,FALSE,"n500_d4",500,4,4
"gamlss2","zeta","x1",NA,NA,NA,FALSE,"n500_d4",500,4,4
"gamlss2","zeta","x2",NA,NA,NA,FALSE,"n500_d4",500,4,4
"gamlss2","zeta","t",NA,NA,NA,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","mu","intercept",0.792624657348858,0.0170889285051963,0.770560576037636,TRUE,"n500_d4",500,4,5
"gamlss.longitudinal","mu","x1",0.122129036067763,0.00984426485493554,0.12,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","mu","x2",-0.10327897032986,0.0215445743242511,-0.1,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","mu","t",0.162969782870458,0.0130421232805334,0.18,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","sigma","intercept",-1.21491743834741,0.0427355396980803,-1.23071174530132,TRUE,"n500_d4",500,4,5
"gamlss.longitudinal","sigma","x1",0.202276443220033,0.024067039888109,0.18,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","sigma","x2",0.134864844537415,0.0528887828570978,0.12,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","sigma","t",0.134194232605177,0.0324967194990775,0.15,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","nu","intercept",0.194814757605549,0.0975882420002244,0,TRUE,"n500_d4",500,4,5
"gamlss.longitudinal","nu","x1",0.102976207462682,0.058197087180053,0.1,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","nu","x2",-0.250653923098773,0.1142598159339,-0.08,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","nu","t",0.0639751020651728,0.091678628353339,0.12,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","tau","intercept",0.542320714436008,0.0917281662969314,0.5,TRUE,"n500_d4",500,4,5
"gamlss.longitudinal","tau","x1",-0.213041619935841,0.04978668529499,-0.08,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","tau","x2",0.145192941630117,0.107294349826953,0.1,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","tau","t",-0.0353915339510833,0.107442265236671,0.11,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","theta","intercept",1.14295079027565,0.0650555469771437,1.05206239213572,TRUE,"n500_d4",500,4,5
"gamlss.longitudinal","theta","x1",0.231107650322082,0.0359775940853467,0.25,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","theta","x2",-0.245519964236279,0.0741363958065925,-0.1,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","theta","t",0.167573902569418,0.112243820092808,0.2,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","zeta","intercept",0.325777665905866,0.64991658122436,0.5,TRUE,"n500_d4",500,4,5
"gamlss.longitudinal","zeta","x1",-0.668530948043342,0.671811406163955,0.12,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","zeta","x2",-2.03603256821092,1.68429647414196,-0.1,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","zeta","t",0.626733272479883,1.66966902188711,0.1,FALSE,"n500_d4",500,4,5
"gamlss2","mu","intercept",0.797855663465771,0.0145350384274736,0.770560576037636,FALSE,"n500_d4",500,4,5
"gamlss2","mu","x1",0.130259147257985,0.00663735843928641,0.12,FALSE,"n500_d4",500,4,5
"gamlss2","mu","x2",-0.0934112677397377,0.0142786379533254,-0.1,FALSE,"n500_d4",500,4,5
"gamlss2","mu","t",0.151068881547916,0.0182061415966936,0.18,FALSE,"n500_d4",500,4,5
"gamlss2","sigma","intercept",-1.2192339946332,0.033804646004083,-1.23071174530132,FALSE,"n500_d4",500,4,5
"gamlss2","sigma","x1",0.196870811056596,0.0166436184255845,0.18,FALSE,"n500_d4",500,4,5
"gamlss2","sigma","x2",0.134553248320286,0.0348312650633115,0.12,FALSE,"n500_d4",500,4,5
"gamlss2","sigma","t",0.121314462261587,0.0444864610777191,0.15,FALSE,"n500_d4",500,4,5
"gamlss2","nu","intercept",0.248843758967146,0.117200757960405,0,FALSE,"n500_d4",500,4,5
"gamlss2","nu","x1",0.153592129885992,0.0587918470295583,0.1,FALSE,"n500_d4",500,4,5
"gamlss2","nu","x2",-0.295171439762844,0.117483215845729,-0.08,FALSE,"n500_d4",500,4,5
"gamlss2","nu","t",0.0173193825487245,0.14646138847735,0.12,FALSE,"n500_d4",500,4,5
"gamlss2","tau","intercept",0.529734991110802,0.0969909016031953,0.5,FALSE,"n500_d4",500,4,5
"gamlss2","tau","x1",-0.266546924976174,0.0530155151475329,-0.08,FALSE,"n500_d4",500,4,5
"gamlss2","tau","x2",0.216126365345564,0.108569666426937,0.1,FALSE,"n500_d4",500,4,5
"gamlss2","tau","t",-0.0984767657399903,0.1380769806639,0.11,FALSE,"n500_d4",500,4,5
"gamlss2","theta","intercept",NA,NA,NA,FALSE,"n500_d4",500,4,5
"gamlss2","theta","x1",NA,NA,NA,FALSE,"n500_d4",500,4,5
"gamlss2","theta","x2",NA,NA,NA,FALSE,"n500_d4",500,4,5
"gamlss2","theta","t",NA,NA,NA,FALSE,"n500_d4",500,4,5
"gamlss2","zeta","intercept",NA,NA,NA,FALSE,"n500_d4",500,4,5
"gamlss2","zeta","x1",NA,NA,NA,FALSE,"n500_d4",500,4,5
"gamlss2","zeta","x2",NA,NA,NA,FALSE,"n500_d4",500,4,5
"gamlss2","zeta","t",NA,NA,NA,FALSE,"n500_d4",500,4,5
"gamlss.longitudinal","mu","intercept",0.765080720789638,0.0174039433934182,0.77130711430271,TRUE,"n500_d4",500,4,6
"gamlss.longitudinal","mu","x1",0.130192433233775,0.0108032126823679,0.12,FALSE,"n500_d4",500,4,6
"gamlss.longitudinal","mu","x2",-0.0833069104593469,0.0240670157034791,-0.1,FALSE,"n500_d4",500,4,6
"gamlss.longitudinal","mu","t",0.169883249040123,0.0150255470628076,0.18,FALSE,"n500_d4",500,4,6
