"study_id","scenario_id","method","attempted","successful","converged","convergence_not_reported","retained","parameter","term","n_metric","n_se","estimand_status","true_value_mean","mean_estimate","bias","bias_mcse","bias_ci_low","bias_ci_high","rmse","rmse_mcse","rmse_ci_low","rmse_ci_high","empirical_sd","empirical_sd_mcse","empirical_sd_ci_low","empirical_sd_ci_high","mean_se","mean_se_mcse","mean_se_ci_low","mean_se_ci_high","se_to_empirical_sd","coverage","coverage_mcse","coverage_ci_low","coverage_ci_high"
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"tau","intercept",100,100,"estimated",0.5,0.493646015926153,-0.00635398407384669,0.0106882116237877,-0.0275617147599092,0.0148537466122158,0.106536012772127,0.00579127002177437,0.0943476674986424,0.117466427852094,0.106882116237877,0.00759578124917297,0.0938432297081079,0.124162309667065,0.0905975491433933,0.000999738327114682,0.0886138514075817,0.0925812468792049,0.847639926419117,0.92,0.0271293199325011,0.850018922990513,0.958906538515619
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"tau","t",100,100,"estimated",0.11,0.124127181884208,0.0141271818842075,0.0126043006249791,-0.0108824850787672,0.0391368488471822,0.126204390962555,0.00811927694605871,0.108908861454939,0.141399987599178,0.126043006249791,0.00895748640802335,0.110666622302599,0.146421041463327,0.112643468306672,0.000656912887602106,0.111340010619376,0.113946925993967,0.893690746184172,0.93,0.0255147016443461,0.862504852609265,0.965680738932727
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"tau","x1",100,100,"estimated",-0.08,-0.0705627995491429,0.00943720045085712,0.0057662967657319,-0.00200438333958604,0.0208787842413003,0.0581448915469638,0.00409046593348491,0.0493657501880703,0.0657622956897446,0.057662967657319,0.00409792867057693,0.050628480329428,0.0669856426743615,0.0549437674052733,0.000386094638697211,0.0541776718782536,0.0557098629322929,0.952843213547291,0.92,0.0271293199325011,0.850018922990513,0.958906538515619
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"tau","x2",100,100,"estimated",0.1,0.133336694069932,0.0333366940699318,0.0109447988413052,0.0116198386773106,0.0550535494625531,0.113887702222405,0.0100468325040559,0.0918133122605356,0.132329638126717,0.109447988413052,0.00777812984444777,0.0960960830423435,0.127143019881215,0.10667376654618,0.000591143430994682,0.105500809729582,0.107846723362779,0.974652600681868,0.95,0.0217944947177034,0.888249530768081,0.978456320845632
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"theta","intercept",100,100,"estimated",1.04309680450961,1.05053168564795,0.0074348811383455,0.00632581159137612,-0.00511690145380484,0.0199866637304958,0.0633786304223322,0.0041121742285189,0.0546130185309126,0.071071230433723,0.0645365711407176,0.00458641439944527,0.0566635512404439,0.0749705377557326,0.0626331547370308,0.000359145896782068,0.0619205313605431,0.0633457781135185,0.970506390871983,0.96,0.0195959179422654,0.901629285641121,0.984336696008452
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"theta","t",100,100,"estimated",0.2,0.192057613192074,-0.007942386807926,0.0116241176473527,-0.0310071580910381,0.0151223844751861,0.115930895386333,0.00911575705005719,0.0961568509334483,0.132792337989495,0.116241176473527,0.0082609006980583,0.102060548661556,0.135034498355632,0.107683263895685,0.000534288042840496,0.106623120504051,0.108743407287319,0.926377959708702,0.93,0.0255147016443461,0.862504852609265,0.965680738932727
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"theta","x1",100,100,"estimated",0.25,0.247949481575088,-0.00205051842491238,0.00376596776312604,-0.00952301549963505,0.00542197864981029,0.0375269693941365,0.00232898575414798,0.032579643848182,0.0418940767954436,0.0376596776312604,0.00267635674956869,0.0330654547559497,0.0437483156266075,0.0353845786069343,0.000199075012895056,0.0349895705917107,0.035779586622158,0.939587931511194,0.95,0.0217944947177034,0.888249530768081,0.978456320845632
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"theta","x2",100,100,"estimated",-0.1,-0.115634881001847,-0.0156348810018475,0.00777917597665749,-0.0310704538441051,-0.000199308159589863,0.0789651303592075,0.00483695293916448,0.0687004077524388,0.0880411131230285,0.0777917597665749,0.00552841963626578,0.0683016975910662,0.0903687623866538,0.0716745604840098,0.000271518875456988,0.0711358081286523,0.0722133128393672,0.921364431131001,0.92,0.0271293199325011,0.850018922990513,0.958906538515619
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"zeta","intercept",100,100,"estimated",0.5,0.463992448454204,-0.0360075515457959,0.081525948479027,-0.197772720512042,0.12575761742045,0.811971730439807,0.094020465140778,0.596942266571284,0.980946539036439,0.81525948479027,0.0579379687243305,0.71580340842629,0.947066770125098,0.898413109523436,0.125743957657174,0.648909817180507,1.14791640186636,1.10199651311577,0.98,0.014,0.929988209271456,0.994498032449838
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"zeta","t",100,100,"estimated",0.1,-0.0246189699682685,-0.124618969968269,0.1331954248073,-0.388907589744667,0.13966964980813,1.33112395570288,0.113326905899392,1.08316395907483,1.53965509405629,1.331954248073,0.0946578666140208,1.16946494757286,1.54729829117096,1.34188829336998,0.0358793595559635,1.27069585992697,1.41308072681299,1.0074582481428,0.98,0.014,0.929988209271456,0.994498032449838
