"rep","engine","success","logLik","df","converged","iter","mu_irmse","sigma_irmse","theta_irmse","elapsed_sec","error"
65,"gamlss",TRUE,-4340.33229688821,21.0000000623616,TRUE,4,0.105919957591841,0.160442225721893,NA,4.05529284477234,NA
65,"ours_rs_joint",TRUE,-3962.7720616732,NA,TRUE,8,0.0922352573060029,0.0764361202436415,0.0919335283852908,491.492225885391,NA
66,"gamlss",TRUE,-4418.34717603737,21.0000001161218,TRUE,5,0.116813946353209,0.171052050183307,NA,0.803372144699097,NA
66,"ours_rs_joint",TRUE,-4024.87589543175,NA,TRUE,6,0.113972007053711,0.137030909616465,0.0858481656066535,417.496699094772,NA
67,"gamlss",TRUE,-4476.3070392566,21.0000361201694,TRUE,5,0.121667788804869,0.222632664713754,NA,1.50776386260986,NA
67,"ours_rs_joint",TRUE,-4070.80653843947,NA,TRUE,8,0.121565880275393,0.213394136959945,0.0571615870856911,512.814513921738,NA
68,"gamlss",TRUE,-4482.25135393951,21.000000042616,TRUE,5,0.0540920361313084,0.154316389624298,NA,3.02436804771423,NA
68,"ours_rs_joint",TRUE,-4029.74317139271,NA,TRUE,7,0.0441528493183322,0.0957089140634545,0.0668650593127328,376.948403120041,NA
69,"gamlss",TRUE,-4270.21818023108,21.0000069182793,TRUE,5,0.0808680644084072,0.168860838007876,NA,0.901827812194824,NA
69,"ours_rs_joint",TRUE,-3887.90062792534,NA,TRUE,8,0.0747301435345454,0.0957132233832018,0.0407720839493338,374.939588069916,NA
70,"gamlss",TRUE,-4541.80413387684,21.0000000693764,TRUE,5,0.073812827452157,0.237787604655185,NA,3.33600902557373,NA
70,"ours_rs_joint",TRUE,-4112.99012710331,NA,TRUE,4,0.0711520857709791,0.137818491837772,0.0419865397750601,309.645133018494,NA
71,"gamlss",TRUE,-4411.13768229,21.0000021864191,TRUE,4,0.11032137880906,0.160430416716766,NA,0.645764827728271,NA
71,"ours_rs_joint",TRUE,-4012.44666775304,NA,TRUE,7,0.106593199642521,0.0851233314953451,0.100789327848172,318.070173025131,NA
72,"gamlss",TRUE,-4462.8082437321,21.0000000369001,TRUE,4,0.0680939790101205,0.19742248842009,NA,0.652467966079712,NA
72,"ours_rs_joint",TRUE,-4068.03522038187,NA,TRUE,8,0.0575221860050269,0.145745326166796,0.057822219124897,399.284654855728,NA
73,"gamlss",TRUE,-4553.22769438763,21.0000251655401,TRUE,4,0.0825207067749971,0.195865293559181,NA,0.698538064956665,NA
73,"ours_rs_joint",TRUE,-4145.96421347079,NA,TRUE,6,0.080689666913191,0.170269908783069,0.0635438426013053,304.55561709404,NA
74,"gamlss",TRUE,-4533.54196264279,20.9999999476458,TRUE,5,0.0932261668454946,0.219565749383702,NA,2.43988990783691,NA
74,"ours_rs_joint",TRUE,-4138.54472843769,NA,TRUE,10,0.0813682349569617,0.159509937514553,0.0270515247451375,391.111289978027,NA
75,"gamlss",TRUE,-4408.59718116809,21.0000122514369,TRUE,5,0.0840924709285914,0.180701619624848,NA,3.82398700714111,NA
75,"ours_rs_joint",TRUE,-4000.13246632562,NA,TRUE,7,0.0752639005593133,0.072822674543468,0.0914916913122542,442.711180925369,NA
76,"gamlss",TRUE,-4469.63405160301,21.0000000974871,TRUE,4,0.130949930675703,0.120639576230359,NA,2.61179113388062,NA
76,"ours_rs_joint",TRUE,-4079.23622312693,NA,TRUE,8,0.124879332329318,0.069061774740613,0.054040886194479,354.178555011749,NA
77,"gamlss",TRUE,-4478.50420086845,21.0000000509025,TRUE,3,0.0837157043113456,0.148620607806274,NA,0.579693078994751,NA
77,"ours_rs_joint",TRUE,-4084.45987823704,NA,TRUE,5,0.0797202580218772,0.0838625623115683,0.0516091723665232,361.373239994049,NA
78,"gamlss",TRUE,-4492.24583071654,21.0000000245992,TRUE,5,0.10812763904636,0.141059911522633,NA,0.984802961349487,NA
78,"ours_rs_joint",TRUE,-4099.00387734749,NA,TRUE,6,0.0806018080923707,0.0919493593758387,0.0646886725327142,310.923793077469,NA
79,"gamlss",TRUE,-4431.81249350164,21.0000000664298,TRUE,4,0.0559869450403359,0.195255943421736,NA,0.662950992584229,NA
79,"ours_rs_joint",TRUE,-4022.12387051633,NA,TRUE,10,0.043456102689833,0.149905506097076,0.0573116095669189,356.205687999725,NA
80,"gamlss",TRUE,-4356.6045085549,21.0000000736904,TRUE,5,0.0338024331797964,0.108825749037405,NA,3.03702998161316,NA
80,"ours_rs_joint",TRUE,-3964.49110325315,NA,TRUE,6,0.0208162587922293,0.0983305672865949,0.0348024460937624,387.182070970535,NA
81,"gamlss",TRUE,-4489.70407564747,21.0000000354903,TRUE,5,0.076872803671577,0.158538441743854,NA,0.808388948440552,NA
81,"ours_rs_joint",TRUE,-4031.5818608485,NA,TRUE,7,0.0667907900171565,0.12451142499462,0.0528793789511922,371.772877931595,NA
82,"gamlss",TRUE,-4487.93961026802,21.0000000889985,TRUE,7,0.102096142755125,0.129874121753784,NA,5.61811685562134,NA
82,"ours_rs_joint",TRUE,-4045.58911464358,NA,TRUE,7,0.0849489632477268,0.0711252907019436,0.0395088973859666,453.199406862259,NA
83,"gamlss",TRUE,-4525.58470379363,21.0000000689673,TRUE,4,0.0893467110088973,0.158297401891435,NA,0.62164306640625,NA
83,"ours_rs_joint",TRUE,-4112.55923927661,NA,TRUE,7,0.0741164237504003,0.141882001574295,0.0660717725281457,420.178166151047,NA
84,"gamlss",TRUE,-4363.45565454922,21.0000000422808,TRUE,5,0.0751962367551486,0.170583693166352,NA,0.76517915725708,NA
84,"ours_rs_joint",TRUE,-3980.79623164146,NA,TRUE,5,0.0632518070725635,0.13665475630247,0.066654302149087,294.227123022079,NA
85,"gamlss",TRUE,-4383.09737503427,21.0000426986655,TRUE,3,0.116472377087447,0.162655810169107,NA,0.545470952987671,NA
85,"ours_rs_joint",TRUE,-3955.07283288231,NA,TRUE,9,0.106055285183017,0.133231640477281,0.058363098476127,374.928964853287,NA
86,"gamlss",TRUE,-4185.30780817677,21.0000039235374,TRUE,5,0.0595204369739875,0.162884242140356,NA,0.703816175460815,NA
86,"ours_rs_joint",TRUE,-3784.06109599344,NA,TRUE,6,0.0591251098286456,0.111678618522442,0.0763414820673699,358.123995065689,NA
87,"gamlss",TRUE,-4470.1876811284,21.0000000997047,TRUE,5,0.095295169210759,0.245380479274359,NA,4.32790613174438,NA
87,"ours_rs_joint",TRUE,-4073.04859875573,NA,TRUE,8,0.0836291055327861,0.212073677898454,0.0629612557519665,342.101171970367,NA
88,"gamlss",TRUE,-4537.98138794378,21.0000064444227,TRUE,5,0.0661798044280185,0.205558633367647,NA,2.53699707984924,NA
88,"ours_rs_joint",TRUE,-4129.93635187484,NA,TRUE,9,0.0563422885503322,0.147721883378963,0.05396950221375,392.971276044846,NA
89,"gamlss",TRUE,-4503.74255872777,21.0000000894413,TRUE,4,0.0659697699986191,0.114335638429447,NA,0.639292001724243,NA
89,"ours_rs_joint",TRUE,-4080.66879771271,NA,TRUE,12,0.0666421107363522,0.0634650242037636,0.0547606628195279,412.001472949982,NA
90,"gamlss",TRUE,-4267.61049123504,21.0000000558544,TRUE,4,0.115076496300621,0.125278474828934,NA,0.613116979598999,NA
90,"ours_rs_joint",TRUE,-3847.88944644921,NA,TRUE,6,0.116242342217866,0.050700625338534,0.0542112291288514,376.384898900986,NA
91,"gamlss",TRUE,-4406.30449494179,21.0000000847419,TRUE,5,0.0814658991599079,0.205757981816371,NA,1.19068908691406,NA
91,"ours_rs_joint",TRUE,-4015.33463478514,NA,TRUE,7,0.0794600889586794,0.167954066204861,0.0693825966149092,309.434046983719,NA
92,"gamlss",TRUE,-4443.02276685858,21.000000058129,TRUE,4,0.100419352969859,0.180779962022872,NA,0.58933687210083,NA
