"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4_nbi_signal2",500,4,24,"gamlss",-4522.87026106858,-4522.87026106858,0,-2.26143513053429,100,12323.2667502,2
"n500_d4_nbi_signal2",500,4,24,"ours_rs_joint",-4340.81946034428,-4984.73684715357,643.917386809293,-2.17040973017214,100,4.1900332395772,0.5
"n500_d4_nbi_signal2",500,4,24,"ours_rs_joint",-4340.81946034428,-4984.73684715357,643.917386809293,-2.17040973017214,100,8279.1866864,2
"n500_d4_nbi_signal2",500,4,25,"gamlss",-4471.692150228,-4471.692150228,0,-2.235846075114,100,4.8577557846434,0.5
"n500_d4_nbi_signal2",500,4,25,"gamlss",-4471.692150228,-4471.692150228,0,-2.235846075114,100,9096.484002,2
"n500_d4_nbi_signal2",500,4,25,"ours_rs_joint",-4310.47309850259,-4849.1278018936,538.654703391018,-2.15523654925129,100,4.01590781194602,0.5
"n500_d4_nbi_signal2",500,4,25,"ours_rs_joint",-4310.47309850259,-4849.1278018936,538.654703391018,-2.15523654925129,100,7540.0746798,2
"n500_d4_nbi_signal2",500,4,26,"gamlss",-4463.2737949171,-4463.2737949171,0,-2.23163689745855,100,4.70864241885854,0.5
"n500_d4_nbi_signal2",500,4,26,"gamlss",-4463.2737949171,-4463.2737949171,0,-2.23163689745855,100,6985.0742072,2
"n500_d4_nbi_signal2",500,4,26,"ours_rs_joint",-4304.11377745357,-4833.93035716297,529.816579709407,-2.15205688872678,100,4.10456268250946,0.5
"n500_d4_nbi_signal2",500,4,26,"ours_rs_joint",-4304.11377745357,-4833.93035716297,529.816579709407,-2.15205688872678,100,5028.204077,2
"n500_d4_nbi_signal2",500,4,27,"gamlss",-4416.44844111927,-4416.44844111927,0,-2.20822422055963,100,4.7815842801488,0.5
"n500_d4_nbi_signal2",500,4,27,"gamlss",-4416.44844111927,-4416.44844111927,0,-2.20822422055963,100,8479.1121136,2
"n500_d4_nbi_signal2",500,4,27,"ours_rs_joint",-4175.20128949434,-4716.91333437789,541.71204488355,-2.08760064474717,100,3.89811755544064,0.5
"n500_d4_nbi_signal2",500,4,27,"ours_rs_joint",-4175.20128949434,-4716.91333437789,541.71204488355,-2.08760064474717,100,6803.870634,2
"n500_d4_nbi_signal2",500,4,28,"gamlss",-4554.08275716012,-4554.08275716012,0,-2.27704137858006,100,5.27397710403983,0.5
"n500_d4_nbi_signal2",500,4,28,"gamlss",-4554.08275716012,-4554.08275716012,0,-2.27704137858006,100,9220.2810194,2
"n500_d4_nbi_signal2",500,4,28,"ours_rs_joint",-4315.71907732333,-4854.25444220102,538.535364877686,-2.15785953866167,100,4.38899203477499,0.5
"n500_d4_nbi_signal2",500,4,28,"ours_rs_joint",-4315.71907732333,-4854.25444220102,538.535364877686,-2.15785953866167,100,7790.9796492,2
"n500_d4_nbi_signal2",500,4,29,"gamlss",-4604.24662441779,-4604.24662441779,0,-2.30212331220889,100,4.66514703396522,0.5
"n500_d4_nbi_signal2",500,4,29,"gamlss",-4604.24662441779,-4604.24662441779,0,-2.30212331220889,100,9567.6908672,2
"n500_d4_nbi_signal2",500,4,29,"ours_rs_joint",-4428.22387357134,-5027.34439455519,599.120520983851,-2.21411193678567,100,3.95757730866759,0.5
"n500_d4_nbi_signal2",500,4,29,"ours_rs_joint",-4428.22387357134,-5027.34439455519,599.120520983851,-2.21411193678567,100,8037.4448956,2
"n500_d4_nbi_signal2",500,4,30,"gamlss",-4462.42260883011,-4462.42260883011,0,-2.23121130441506,100,5.09530780098529,0.5
"n500_d4_nbi_signal2",500,4,30,"gamlss",-4462.42260883011,-4462.42260883011,0,-2.23121130441506,100,8880.653746,2
"n500_d4_nbi_signal2",500,4,30,"ours_rs_joint",-4259.3877311923,-4864.48906265282,605.101331460518,-2.12969386559615,100,4.07721543902599,0.5
"n500_d4_nbi_signal2",500,4,30,"ours_rs_joint",-4259.3877311923,-4864.48906265282,605.101331460518,-2.12969386559615,100,6783.618935,2
"n500_d4_nbi_signal2",500,4,31,"gamlss",-4582.46635654666,-4582.46635654666,0,-2.29123317827333,100,4.98298630837037,0.5
"n500_d4_nbi_signal2",500,4,31,"gamlss",-4582.46635654666,-4582.46635654666,0,-2.29123317827333,100,7311.36048,2
"n500_d4_nbi_signal2",500,4,31,"ours_rs_joint",-4292.53710849827,-4886.57578657733,594.038678079063,-2.14626855424913,100,4.17233890045097,0.5
"n500_d4_nbi_signal2",500,4,31,"ours_rs_joint",-4292.53710849827,-4886.57578657733,594.038678079063,-2.14626855424913,100,4893.1180486,2
"n500_d4_nbi_signal2",500,4,32,"gamlss",-4486.5180130383,-4486.5180130383,0,-2.24325900651915,100,5.07313900061941,0.5
"n500_d4_nbi_signal2",500,4,32,"gamlss",-4486.5180130383,-4486.5180130383,0,-2.24325900651915,100,7294.049091,2
"n500_d4_nbi_signal2",500,4,32,"ours_rs_joint",-4332.48762929915,-4922.73603601818,590.248406719033,-2.16624381464958,100,4.03941319121075,0.5
