"scenario","n","d","rep","model","parameter","s1","smooth_hat","smooth_true"
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.792020202020202,0.142136842324581,0.0101517641057034
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.801919191919192,0.143571565726548,0.0266140842771146
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.811818181818182,0.141726706701989,0.0436251484542393
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.821717171717172,0.137526054910694,0.0611849566370779
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.831616161616162,0.132115969943247,0.07929350882563
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.841515151515151,0.126643174204637,0.0979508050198958
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.851414141414141,0.122254362536025,0.117156845219876
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.861313131313131,0.120043143028946,0.136911629425569
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.871212121212121,0.120700631657092,0.157215157636976
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.881111111111111,0.124734070531991,0.178067429854096
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.891010101010101,0.132649718284474,0.199468446076931
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.900909090909091,0.144953839451401,0.221418206305479
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.910808080808081,0.162054425004235,0.243916710539741
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.920707070707071,0.18335592015668,0.266963958779716
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.930606060606061,0.207675585362138,0.290559951025405
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.940505050505051,0.233823282954777,0.314704687276809
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.95040404040404,0.260608934896193,0.339398167533925
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.96030303030303,0.286892071189578,0.364640391796755
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.97020202020202,0.312240453659531,0.390431360065299
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.98010101010101,0.336747731685032,0.416771072339557
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.99,0.360520108645524,0.443659528619529
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.00682776421308517,-0.150991948129042,0.0490661349411715
