"scenario","model","n","d","parameter","s1","smooth_true","smooth_median","smooth_q05","smooth_q95","bias","rmse","missing_mechanism","target_missing_rate","observed_missing_rate","complete_adjacent_pair_rate","missing_label"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.71,-0.532720738620747,-0.523740784484668,-0.589084951113015,-0.490048082806721,0.00294745620902847,0.0333831508765451,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.87,-0.400932745081776,-0.391556437676243,-0.434869164819423,-0.360396202731799,0.0118756437798025,0.0266767080460048,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.85,-0.444959346906221,-0.432924928116607,-0.473421846564673,-0.397022684226607,0.0103293621907768,0.0269678547749739,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.67,-0.481968674024125,-0.473950521638609,-0.541616997523369,-0.432704461672237,0.00196308615365596,0.0338088638019356,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.32,-0.125444084499225,-0.118747702603215,-0.195768894465198,0.000907765843862167,0.0116131703654457,0.0605330440762096,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.3,-0.0911753953421872,-0.0909696891690728,-0.178146557711536,0.00104762627815594,0.00304527950455874,0.0560326194894026,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.28,-0.0555246914054204,-0.0543087729199392,-0.151644697696783,0.0197733307330658,-0.00349748800778125,0.0540665587476946,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.63,-0.400932745081776,-0.399118000035572,-0.441231533713421,-0.345551607394333,0.00189308229343168,0.0315193816881472,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.61,-0.350583194361779,-0.354522197225748,-0.379652365178405,-0.296242371809982,0.00194408790337391,0.0293195606642218,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.42,0.185028141383857,0.186466576785628,0.151284199503917,0.227885939667617,0.0039446974962189,0.0314407637320006,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.75,-0.55,-0.560203146461833,-0.624531508395617,-0.491817151683047,-0.00562247596412759,0.0362270910991618,"mar",0,0,1,"0%"
