"artifact_id","artifact_type","manuscript_path","manuscript_label","producer","profiles","input_bundle","access","publication_status","verification","approved_sha256","generated_path"
"p2_copula_warning_audit","audit","evidence/copula-selection/warning-audit.csv","phase2:copula-warning-audit","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","tables/07-gamma-copula-misspecification-warning-audit.csv"
"p2_copula_review_gate","audit","evidence/copula-selection/review-gate.csv","phase2:copula-review-gate","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","tables/07-gamma-copula-misspecification-review-gate.csv"
"p2_mvt_scenario_grid","data","evidence/multivariate/scenario-grid.csv","phase2:mvt-scenario-grid","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/scenario_grid.csv"
"p2_mvt_run_metadata","audit","evidence/multivariate/run-metadata.csv","phase2:mvt-run-metadata","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/run_metadata.csv"
"p2_mvt_package_versions","audit","evidence/multivariate/package-versions.csv","phase2:mvt-package-versions","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/package_versions.csv"
"p2_mvt_worker_attestations","audit","evidence/multivariate/worker-attestations.csv","phase2:mvt-worker-attestations","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/worker_attestations.csv"
"p2_mvt_checkpoint_rejections","audit","evidence/multivariate/checkpoint-rejections.csv","phase2:mvt-checkpoint-rejections","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/checkpoint_rejections.csv"
"p2_mvt_fit_status","data","evidence/multivariate/fit-status.csv","phase2:mvt-fit-status","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/fit_status_by_rep.csv"
"p2_mvt_benchmark_results","data","evidence/multivariate/benchmark-results.csv","phase2:mvt-benchmark-results","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/benchmark_results_by_rep.csv"
"p2_mvt_coefficient_results","data","evidence/multivariate/coefficient-results.csv","phase2:mvt-coefficient-results","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/coefficient_results_by_rep.csv"
